,Ticker,Volality
172,GMC,48.34
173,HAP,48.34
174,SGT,48.13
175,TPC,48.04
176,PAN,48.02
177,BBC,47.61
178,KBC,47.57
179,SMC,47.49
180,REE,47.19
181,SFG,46.9
182,BKG,46.77
183,AAA,46.61
184,ABT,46.59
185,YBM,46.55
186,SC5,46.39
187,HT1,46.22
188,VSH,46.22
189,AAM,46.16
190,VSI,46.13
191,LM8,45.97
192,HVX,45.96
193,GVR,45.89
194,TCO,45.84
195,NHH,45.8
196,VNE,45.74
197,NT2,45.74
198,TNA,45.48
199,SBT,45.43
200,CRE,45.41
201,VIP,44.95
202,HII,44.8
203,NAF,44.21
204,STB,44.21
205,GMH,44.04
206,LPB,43.88
207,SHB,43.61
208,VSC,43.53
209,GAS,43.41
210,EVF,43.4
211,DPR,43.06
212,CMG,42.96
213,MSH,42.88
214,ADS,42.72
215,BMI,42.63
216,GMD,42.6
217,NTL,42.59
218,AAT,42.55
219,TMS,42.43
220,FMC,42.29
221,VTO,42.28
222,BRC,42.22
223,SVI,42.1
224,SVT,41.54
225,SSC,41.43
226,CTR,41.36
227,SRF,41.35
228,EVE,40.97
229,TPB,40.96
230,STK,40.9
231,DRC,40.65
232,EIB,40.13
233,MSN,40.0
234,SHI,39.95
235,HVH,39.82
236,APC,39.77
237,POM,39.66
238,PGC,39.59
239,VIB,39.54
240,SHA,39.45
241,HAS,39.23
242,DHA,39.21
243,SAV,39.2
244,TDP,38.8
245,C32,38.77
246,TCM,38.54
247,D2D,38.47
248,BID,38.4
249,TLG,38.19
250,TV2,38.09
251,PNJ,37.96
252,BVH,37.81
253,PTB,37.77
254,VRE,37.67
255,PGD,37.55
256,VNG,37.29
257,GSP,37.21
258,VTB,37.03
259,CSM,36.9
260,OCB,36.85
261,CTG,36.78
262,VPG,36.71
263,HVN,36.69
264,BIC,36.66
265,TRC,36.61
266,THG,36.56
267,HTV,36.54
268,TTA,36.53
269,SFI,36.42
270,VID,36.41
271,BWE,36.35
272,HPG,36.1
273,DTL,36.02
274,KDH,36.0
275,HDB,36.0
276,DRL,35.88
277,THI,35.73
278,VNL,35.66
279,PLX,35.56
280,VPB,35.33
281,MWG,35.3
282,MSB,35.29
283,BTP,35.24
284,UIC,35.06
285,HMC,35.0
286,HHP,34.39
287,TCT,34.34
288,MBB,34.1
289,CTF,33.59
290,PGV,33.44
291,DCL,33.17
292,SJS,32.85
293,AGG,32.79
294,TN1,32.58
295,TVT,32.45
296,SZL,32.32
297,ADG,32.28
298,S4A,32.22
299,TDM,32.14
300,DBT,32.0
301,IMP,31.9
302,TCB,31.88
303,NNC,31.67
304,TMP,31.14
305,TIX,31.09
306,HPX,31.09
307,DHG,31.06
308,PDR,30.78
309,ILB,30.77
310,VPS,30.62
311,ICT,30.52
312,SCD,30.48
313,PGI,30.38
314,FPT,30.36
315,VPD,30.0
316,RAL,29.52
317,BMP,29.07
318,PAC,29.05
319,VCA,28.38
320,DHM,28.36
321,DHC,28.06
322,SBA,27.59
323,NSC,27.57
324,CDC,27.56
325,ACB,27.32
326,SAB,27.12
327,VPI,26.83
328,VCB,26.79
329,VIC,26.58
330,VJC,26.37
331,TCL,26.36
332,VHM,26.18
333,SSB,26.07
334,FIR,25.84
335,DBD,25.82
336,GDT,25.76
337,TBC,25.64
338,SCS,25.23
339,SBV,25.16
340,VNM,24.96
341,HTI,24.85
342,DSN,24.65
343,NVL,24.5
344,CAV,24.19
345,CLL,23.79
346,TYA,23.23
347,SJD,23.08
348,TRA,23.07
349,PPC,22.87
350,BHN,22.83
351,LIX,22.64
352,SGN,22.49
353,KDC,22.12
354,DVP,22.03
355,NCT,21.96
356,CHP,21.36
357,CLC,21.04
358,ACG,20.77
359,OPC,19.32
360,SHP,18.52
361,KOS,16.89
362,SMB,12.62
363,IBC,10.03
